Domain,Country,Availability,Website,Expiry,Notes
scotland-guide.co.uk,United Kingdom,TAKEN,DNS yes,,Not available. Do not list as a buy.
sender-iptv.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
server-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
server-panel.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
shield-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
shropshire-guide.co.uk,United Kingdom,TAKEN,DNS yes,,Not available. Do not list as a buy.
smart-box.ch,Switzerland,TAKEN,DNS yes,,Not available. Do not list as a buy.
smart-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
smart-box.no,Norway,TAKEN,DNS yes,,Not available. Do not list as a buy.
smart-player.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
smart-player.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
smart-player.nl,Netherlands,TAKEN,DNS yes,,Not available. Do not list as a buy.
smart-player.us,United States,TAKEN,DNS yes,,Not available. Do not list as a buy.
smarters-pro.ca,Canada,TAKEN,DNS yes,,Not available. Do not list as a buy.
smarters-pro.uk,United Kingdom,TAKEN,No DNS / offline-looking,,Not available. Do not list as a buy.
soccer-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-box.nl,Netherlands,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-box.uk,United Kingdom,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-guide.ch,Switzerland,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-guide.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-guide.dk,Denmark,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-guide.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
sport-guide.nl,Netherlands,TAKEN,DNS yes,,Not available. Do not list as a buy.
stream-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
stream-iptv.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
streamguide.ca,Canada,TAKEN,DNS yes,,Not available. Do not list as a buy.
streamguide.co.uk,Other,TAKEN,No DNS / offline-looking,,Not available. Do not list as a buy.
streamrank.com,Global,TAKEN,DNS yes,,Not available. Do not list as a buy.
swiss-box.ch,Switzerland,TAKEN,DNS yes,,Not available. Do not list as a buy.
swiss-box.de,Germany,TAKEN,No DNS / offline-looking,,Not available. Do not list as a buy.
swiss-box.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
swiss-iptv.ch,Switzerland,TAKEN,No DNS / offline-looking,,Not available. Do not list as a buy.
tennis-box.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
test-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
test-box.nl,Netherlands,TAKEN,DNS yes,,Not available. Do not list as a buy.
test-iptv.ch,Switzerland,TAKEN,No DNS / offline-looking,,Not available. Do not list as a buy.
test-iptv.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
tivi-mate.ca,Canada,TAKEN,DNS yes,,Not available. Do not list as a buy.
tivi-mate.us,United States,TAKEN,DNS yes,,Not available. Do not list as a buy.
tivimate-iptv.ca,Canada,TAKEN,DNS yes,,Not available. Do not list as a buy.
tivimate-iptv.us,United States,TAKEN,DNS yes,,Not available. Do not list as a buy.
tnt-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
tnt-iptv.ca,Canada,TAKEN,DNS yes,,Not available. Do not list as a buy.
top-iptv.fr,France,TAKEN,No DNS / offline-looking,,Not available. Do not list as a buy.
toronto-iptv.ca,Canada,TAKEN,DNS yes,,Not available. Do not list as a buy.
trial-app.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
tvcompare.co.uk,Other,TAKEN,DNS yes,,Not available. Do not list as a buy.
ukstreamguide.co.uk,United Kingdom,TAKEN,DNS yes,,Not available. Do not list as a buy.
usa-iptv.us,United States,TAKEN,DNS yes,,Not available. Do not list as a buy.
var-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
vergleich-anbieter.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
vpn-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
wales-guide.co.uk,United Kingdom,TAKEN,DNS yes,,Not available. Do not list as a buy.
watch-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
watch-box.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
watch-box.nl,Netherlands,TAKEN,DNS yes,,Not available. Do not list as a buy.
watchguide.co.uk,United Kingdom,TAKEN,DNS yes,,Not available. Do not list as a buy.
weser-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
wifi-box.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
xtream-iptv.ca,Canada,TAKEN,DNS yes,,Not available. Do not list as a buy.
xtream-iptv.de,Germany,TAKEN,DNS yes,,Not available. Do not list as a buy.
xtream-iptv.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
xtream-iptv.nl,Netherlands,TAKEN,No DNS / offline-looking,,Not available. Do not list as a buy.
xtream-iptv.us,United States,TAKEN,DNS yes,,Not available. Do not list as a buy.
xtream-player.fr,France,TAKEN,DNS yes,,Not available. Do not list as a buy.
xtreamiptv.us,United States,TAKEN,DNS yes,,Not available. Do not list as a buy.
yorkshire-guide.co.uk,United Kingdom,TAKEN,DNS yes,,Not available. Do not list as a buy.
